country,population,region,est_modern_slavery_per_1000_population,est_people_in_modern_slavery,governance_issues,lack_of_basic_needs,inequality,disenfranchised_groups,effects_of_conflict,total_vulnerability_score_percent,slavery_survivors_remain_out_of_slavery_percent,criminal_justice_prevents_modern_slavery_percent,government_coordination_and_response_accountability_percent,social_risks_address_modern_slavery_percent,government_and_businesses_dont_source_forced_labor_percent,total_government_response_percent
Afghanistan,38928000,Asia and the Pacific,12.9599723815918,505000,74.80903648400393,49.41115624005668,71.195145,73.2093023255814,98.44693347295656,86.1662322798377,,,,,,
Albania,2878000,Europe and Central Asia,11.81394481658936,34000,38.90938684224655,30.68272020792062,43.824287975,68.40907792737657,21.60399903978802,39.50559814524699,54.54545593261719,69.23076629638672,75,78.57142639160156,12.5,61.53845977783203
Algeria,43851000,Africa,1.922730684280396,84000,53.95780224906638,27.43202307177622,30.48286535416667,57.74020807833537,33.52019081287101,43.05974622669564,22.72727203369141,53.84615325927734,37.5,42.85714340209961,0,35.89743423461914
Angola,32866000,Africa,4.136548519134521,136000,51.22330325001402,62.83739665149498,54.91256458333334,70.6205630354957,29.19893720865785,61.07281247183403,59.09090805053711,46.15384674072266,62.5,28.5714282989502,0,43.58974456787109
Antigua and Barbuda,98000,Americas,,,,,,,,,36.3636360168457,53.84615325927734,62.5,50,0,43.58974456787109
Argentina,45196000,Americas,4.178747653961182,189000,40.58376741522574,29.19789784276034,53.15164097916667,43.02527539779683,15.1535275563532,35.51249048667636,50,73.07691955566406,75,64.28571319580078,0,57.69230651855469
Armenia,2963000,Europe and Central Asia,8.938274383544922,26000,59.73514421005336,31.26209799058097,35.8069288125,66.58365973072216,21.23861776044153,48.14495723761485,63.6363639831543,57.69230651855469,75,50,0,53.84615325927734
Australia,25500000,Asia and the Pacific,1.609539031982422,41000,3.350480924914742,28.57086313790062,17.77463588712158,28.81254589963281,26.4736277683398,6.81399870378826,63.6363639831543,69.23076629638672,75,78.57142639160156,37.5,66.66666412353516
Austria,9006000,Europe and Central Asia,1.855276346206665,17000,10.19441558645745,22.03516340900925,17.35727408788859,35.04157486740106,19.00902410079689,8.004145492813043,59.09090805053711,65.38461303710938,75,71.42857360839844,25,61.53845977783203
Azerbaijan,10139000,Europe and Central Asia,10.56178951263428,107000,66.60005997107454,34.24654839142929,28.24958469444444,84.27131782945736,33.27270637592668,56.89814924585747,63.6363639831543,69.23076629638672,62.5,64.28571319580078,0,58.97435760498047
Bahamas,393000,Americas,,,,,,,,,68.18181610107422,65.38461303710938,25,50,0,52.56410217285156
Bahrain,1702000,Arab States,6.736337385130479,11000,51.48061886851468,34.44365692392635,26.67907990549584,61.81747246022032,13.4333287330228,40.31263365089431,77.2727279663086,50,62.5,57.14285659790039,0,55.12820434570313
Bangladesh,164689000,Asia and the Pacific,7.056299209594727,1162000,52.36007323481024,44.07094172822584,38.03695330499268,81.01279069767442,52.9612353460142,58.09061074311966,40.90909194946289,69.23076629638672,50,50,0,48.71794891357422
